# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.375086608975851	-0.0291015	-0.0298787	-0.0173626	-0.0056102	0.000570548	0.00242045
0.1	0.381756219665428	-0.0293991	-0.0297763	-0.0173633	-0.00561015	0.000693859	0.00264251
0.2	0.389460899229759	-0.0302496	-0.0301396	-0.0176078	-0.00569831	0.000805925	0.00288518
0.3	0.398403787139764	-0.0317448	-0.0310254	-0.0181317	-0.00589192	0.000903617	0.00315407
0.4	0.408868810442072	-0.034064	-0.0325548	-0.0190051	-0.00622254	0.000979612	0.00345519
0.5	0.421267208574864	-0.0375344	-0.0349547	-0.0203559	-0.0067469	0.00101905	0.00379487
0.6	0.436228035842672	-0.042773	-0.0386541	-0.0224259	-0.00757295	0.000990763	0.00417917
0.7	0.454797477312560	-0.0510653	-0.0445392	-0.0257196	-0.0089335	0.000818624	0.00460789
0.8	0.478963084588611	-0.0656318	-0.0547977	-0.0315118	-0.0114572	0.000255772	0.00502741
0.9	0.513529095228044	-0.0982633	-0.0772987	-0.0446388	-0.0178443	-0.00207065	0.00480966
