# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0919506025777060	-0.0173577	0.00449813	0.015491	0.0153192	0.0106601	0.00625157
0.1	-0.0912384417668022	-0.0140307	0.00626296	0.0166407	0.0164599	0.011743	0.00709137
0.2	-0.0903420779049362	-0.0108343	0.00825837	0.0181245	0.0179028	0.0130746	0.0081225
0.3	-0.0892032692573420	-0.00755995	0.0106231	0.0200588	0.0197554	0.0147502	0.00942397
0.4	-0.0877416867225870	-0.00394425	0.0135662	0.0226341	0.0221928	0.0169224	0.011121
0.5	-0.0858479317996243	0.000418314	0.0174386	0.0261816	0.0255209	0.019855	0.0134279
0.6	-0.0833752049359553	0.00627665	0.0229035	0.0313344	0.0303287	0.024059	0.0167576
0.7	-0.0801252586005671	0.0153033	0.0314315	0.0394907	0.0379334	0.0306972	0.0220601
0.8	-0.0757881821688035	0.0323585	0.0472307	0.0546107	0.0521338	0.0432396	0.032275
0.9	-0.0688209505676577	0.0808809	0.0908846	0.0958055	0.0917759	0.0801375	0.0645056
