# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0892414601053197	-0.0165752	0.0044303	0.0159478	0.0157166	0.0109298	0.00648999
0.1	-0.0893304064099566	-0.0185299	0.00358923	0.015535	0.015274	0.0104761	0.00612628
0.2	-0.0893011499659410	-0.0209239	0.00277568	0.0153091	0.0149909	0.0101249	0.00582748
0.3	-0.0891601722553125	-0.0239499	0.00194127	0.0152625	0.0148544	0.00985858	0.00557721
0.4	-0.0889078649060423	-0.0279058	0.00102967	0.0154037	0.0148626	0.00966445	0.00536156
0.5	-0.0885386582577577	-0.0332887	-0.0000365693	0.0157623	0.0150259	0.00953374	0.00516759
0.6	-0.0880400783357060	-0.0410073	-0.00138154	0.0164014	0.0153716	0.0094602	0.00498136
0.7	-0.0873904463839432	-0.052935	-0.0032369	0.017453	0.0159574	0.00943858	0.00478409
0.8	-0.0865549096337603	-0.0737219	-0.00612507	0.0192282	0.016913	0.00946223	0.00454295
0.9	-0.0854797554661670	-0.119678	-0.0116712	0.0227206	0.0186247	0.00951907	0.00417946
