# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.373364735413402	-0.0275316	-0.0298133	-0.0173878	-0.00538595	0.000762028	0.00256027
0.1	0.367480183762894	-0.027715	-0.0304163	-0.0176366	-0.00547752	0.000608553	0.00233411
0.2	0.362374516827163	-0.0284183	-0.0315095	-0.0181262	-0.00564706	0.000440791	0.00211203
0.3	0.357961754083270	-0.0297208	-0.0331786	-0.0188869	-0.00589998	0.000255761	0.0018893
0.4	0.354177197658182	-0.0317846	-0.0355809	-0.019977	-0.0062489	0.0000492147	0.00166142
0.5	0.350973418220861	-0.0349128	-0.0389942	-0.021499	-0.00671665	-0.000185048	0.00142381
0.6	0.348317747465618	-0.039688	-0.0439261	-0.0236351	-0.00734271	-0.000456259	0.00117136
0.7	0.346190469294707	-0.0473387	-0.0513945	-0.0267335	-0.00819752	-0.000778167	0.000898315
0.8	0.344582758808305	-0.0609496	-0.0638044	-0.031565	-0.00942086	-0.00117075	0.00059917
0.9	0.343492781508567	-0.0914533	-0.0890178	-0.0404344	-0.0113704	-0.0016612	0.000274014
